Country,total_confirmed,total_deaths,total_recovered,avg_daily_cases,max_daily_cases,num_records,Population,cases_per_million,deaths_per_million,high_risk
Trinidad and Tobago,14967,949,10531,79.61170212765957,148,188,,,,False
Bahamas,12100,1203,6047,64.36170212765957,382,188,,,,False
Monaco,11993,425,8707,63.79255319148936,116,188,,,,False
Eritrea,11786,0,5724,62.691489361702125,265,188,,,,False
Burundi,11351,106,7361,60.37765957446808,378,188,,,,False
Barbados,10652,738,7444,56.659574468085104,110,188,,,,False
Liechtenstein,10351,116,9477,55.058510638297875,86,188,,,,False
Lesotho,6794,98,1318,36.138297872340424,505,188,,,,False
Bhutan,4971,0,2838,26.44148936170213,99,188,,,,False
Gambia,4845,209,2278,25.77127659574468,326,188,,,,False
Antigua and Barbuda,4487,326,2600,23.867021276595743,86,188,,,,False
Seychelles,3977,0,1247,21.154255319148938,114,188,,,,False
Saint Vincent and the Grenadines,2771,0,1995,14.73936170212766,52,188,,,,False
Belize,2636,222,1618,14.02127659574468,48,188,,,,False
Timor-Leste,2487,0,0,13.22872340425532,24,188,,,,False
Grenada,2466,0,1848,13.117021276595745,23,188,,,,False
Fiji,2266,0,1568,12.053191489361701,27,188,,,,False
Saint Lucia,2236,0,1860,11.893617021276595,24,188,,,,False
Laos,2229,0,1540,11.856382978723405,20,188,,,,False
Dominica,2059,0,1659,10.952127659574469,18,188,,,,False
Saint Kitts and Nevis,1772,0,1295,9.425531914893616,17,188,,,,False
Greenland,1507,0,1372,8.01595744680851,14,188,,,,False
Holy See,1356,0,742,7.212765957446808,12,188,,,,False
Papua New Guinea,1185,2,695,6.303191489361702,62,188,,,,False
Western Sahara,901,63,648,4.792553191489362,10,188,,,,False
